region,price,peak_forecast,volatility,renewable_proxy,carbon_proxy,avg_temp,profitability,sustainability,hybrid,lat,lon
NE,15195.0,14947.776314990177,1101.9003339751353,8.403469047156278e-05,0.9999159653095284,8.928358208955224,0.9598823318236819,0.9756710219791349,0.9677766769014085,42.5,-72.5
SW,9929.0,15315.727595803666,873.1307943589844,7.908127965156651e-05,0.9999209187203484,12.734328358208952,0.9986708951144467,0.8692804401227778,0.9339756676186123,36.0,-111.5
NY,18484.0,18674.844740282173,1490.959587900902,6.480331328336481e-05,0.9999351966867166,7.1358208955223885,0.9048983396135426,0.7874957641442555,0.846197051878899,42.9,-75.3
TEN,17573.0,19557.33586143361,1480.1548685128948,5.875632053278082e-05,0.9999412436794672,15.189552238805971,0.9067265395434272,0.6113690603757701,0.7590477999595986,36.0,-86.0
CAR,21761.0,26649.513965833212,1786.057132263829,4.4822096253382176e-05,0.9999551779037467,15.195522388059704,0.8409121704598548,0.4573166514224548,0.6491144109411549,35.5,-80.0
SE,25581.0,28211.829714296946,2334.0366910917933,4.19921390715658e-05,0.9999580078609285,16.517910447761196,0.7806162831391438,0.4080980509852349,0.5943571670621893,33.0,-84.0
CENT,32670.0,34544.80358799066,1942.6997724292808,3.189095678936446e-05,0.9999681090432107,14.568656716417914,0.7505055437763041,0.32293728155034485,0.5367214126633244,38.5,-94.5
CAL,26173.0,33809.38434542606,2340.147677428475,3.3600547088431195e-05,0.9999663994529115,16.907462686567165,0.7571982941884956,0.31008489585833776,0.5336415950234167,36.5,-119.5
NW,34763.0,43771.969336485265,3974.7472319596277,2.5536935363704274e-05,0.9999744630646363,9.285074626865672,0.5714041730167002,0.3244368910936139,0.44792053205515703,45.5,-120.5
FLA,31857.0,36359.65948885046,5358.638026588441,3.539256349994701e-05,0.9999646074365001,21.871641791044773,0.5193163761966978,0.2625107748991078,0.3909135755479028,28.0,-82.0
TEX,57564.0,64417.3423066551,4933.785993725759,1.8814793631190872e-05,0.9999811852063688,20.37014925373134,0.3252326346767662,0.09970736833705572,0.21247000150691098,31.0,-99.0
MIDW,84169.0,84977.0713987938,5089.430570921621,1.3277702969114282e-05,0.9999867222970309,10.882089552238805,0.11517600358917572,0.16729867935081202,0.14123734146999387,42.0,-89.0
MIDA,94806.0,98000.20163061944,5230.169066288078,1.1635654807167476e-05,0.9999883643451928,13.174626865671641,0.008592269746704373,0.11803909652587866,0.06331568313629152,39.0,-77.0
