region,dc_score,profitability,sustainability,renewable_score,load_mw,avg_temp,lat,lon
CAR,0.8365749098386035,0.8361135694172261,0.8368824701195218,62.274280136652024,21115.0,14.847761194029852,35.5,-80.0
NY,0.8197829748798731,0.908413948608873,0.7606956590605398,46.294595549275876,17600.0,6.699999999999999,42.9,-75.3
TEN,0.7432095624279818,0.9096637237022563,0.6322401215784652,48.67301912131483,16976.0,14.895522388059701,36.0,-86.0
NW,0.7082737999998914,0.622058820388023,0.7657504530744703,49.89043445121951,39325.0,9.13731343283582,45.5,-120.5
CENT,0.6898085007515107,0.7387931238698818,0.6571520853392633,49.6162315193457,34120.0,14.356716417910448,38.5,-94.5
NE,0.6851751436861719,0.9516332054524332,0.5075364358419976,31.877864967756974,14750.0,8.561194029850745,42.5,-72.5
SW,0.6012831034882302,1.0,0.33547183914705025,25.88117537713591,11780.0,12.670149253731344,36.0,-111.5
SE,0.5395373715058814,0.7681199929195094,0.38714895723012943,34.13858868404323,25223.0,16.26567164179104,33.0,-84.0
CAL,0.47181643608390267,0.7675027759256676,0.274692209522726,27.187904967602595,25379.0,16.68358208955224,36.5,-119.5
MIDA,0.3401337033006149,0.05921280114005115,0.5274143047409907,38.82594188794661,89539.0,12.765671641791046,39.0,-77.0
MIDW,0.3059641755237688,0.18205816728544616,0.38856818101598395,26.393879243197066,79260.0,10.401492537313432,42.0,-89.0
TEX,0.2360089841486646,0.40548663607311597,0.12302388286569699,21.89873417721519,52233.0,20.302985074626864,31.0,-99.0
FLA,0.21509072904744145,0.5377268226186036,0.0,15.531378744850205,29806.0,21.685074626865667,28.0,-82.0
